product,name,precursor,MW (g/mol),rateFBA,yieldFBA,vCarbonSourcesFBA,rateRBA,yieldRBA,vCarbonSourcesRBA,yRBA/yFBA,yieldExp_LB_(g/g_substrate),yieldExp_UB_(g/g_substrate),SimulationSettings,yieldEXP_conditions,yieldExp_ref,fluxExp_LB_(mmol product/(gDW*h)),fluxExp_UB_(mmol product/(gDW*h)),,vCarbonSources,RBA: vCarbonSources,carbonSlack,RBA: carbonSlack,vprod,RBA: vprod,yield,RBA: yield
13ppd,"1,3-Propanediol",Glycerol,76.09,17.750204996025584,0.5675176971898082,-13.21,16.87717292821509,0.5396047154069157,-13.21,0.9508156628046845,,,,,,,,,,-13.21,,0.0,,16.87717292821509,,0.5396047154069157
2phetoh,2-Phenylethanol,L-Phenylalanine,122.16,6.9153377076676135,0.35496936147166674,-13.21,6.34237486254143,0.32555875798719464,-13.21,0.9171460788544151,,,,,,,,,,-13.21,,0.0,,6.34237486254143,,0.32555875798719464
3hppa,3-Hydroxypropionic acid,Malonyl-CoA,90.08,20.743743378592807,0.785170475075878,-13.21,18.0188214911488,0.6820295822360144,-13.21,0.8686388547278269,,,,,,,,,,-13.21,,0.0,,18.0188214911488,,0.6820295822360144
3hppb,3-Hydroxypropionic acid,L-Alanine,90.08,21.389648502006207,0.8096186001489932,-13.21,21.291797668422753,0.8059148527544617,-13.21,0.9954253182994438,,,,,,,,,,-13.21,,0.0,,21.291797668422753,,0.8059148527544617
3hppa,3-Hydroxypropionic acid,Malonyl-CoA,90.08,20.743743378592807,0.785170475075878,-13.21,18.0188214911488,0.6820295822360144,-13.21,0.8686388547278269,,,,,,,,,,-13.21,,0.0,,18.0188214911488,,0.6820295822360144
3hppb,3-Hydroxypropionic acid,L-Alanine,90.08,21.389648502006207,0.8096186001489932,-13.21,21.291797668422753,0.8059148527544617,-13.21,0.9954253182994438,,,,,,,,,,-13.21,,0.0,,21.291797668422753,,0.8059148527544617
4hbz,p-Hydroxybenzoate,Chorismate,137.11,9.208237756522395,0.5305106500418897,-13.21,7.425600832730213,0.42780827655465004,-13.21,0.8064084604538473,,,,,,,,,,-13.21,,0.0,,7.425600832730213,,0.42780827655465004
arte,Artermisinic acid,Farnesyl diphosphate,234.33,2.8333622268670564,0.2789834522174975,-13.21,2.709825773822371,0.26681959056285137,-13.21,0.956399343552595,,,,,,,,,,-13.21,,0.0,,2.709825773822371,,0.26681959056285137
btd,"(2R,3R)-Butanediol",Pyruvate,90.12,13.24482919736128,0.5015520350300657,-13.21,12.457675597644,0.47174429014060354,-13.21,0.9405689882453067,,,,,,,,,,-13.21,,0.0,,12.457675597644,,0.47174429014060354
btoh,n-Butanol,Threonine or (acetyl-CoA and pyruvate),74.12,11.22803133518382,0.34969343440236594,-13.21,10.81181160798536,0.33673040450646996,-13.21,0.9629303023145113,,,,,,,,,,-13.21,,0.0,,10.81181160798536,,0.33673040450646996
citm,Citramalate,Acetyl-CoA and pyruvate,146.1,14.748604170579004,0.9054189663270855,-13.21,12.43507370606389,0.7633909928646136,-13.21,0.8431356325142809,,,,,,,,,,-13.21,,0.0,,12.43507370606389,,0.7633909928646136
cou,p-Coumaric acid,L-Tyrosine,163.15,7.1110865122832365,0.4874964888613946,-13.21,6.365210733474172,0.4363633993302664,-13.21,0.895110855771381,,,,,,,,,,-13.21,,0.0,,6.365210733474172,,0.4363633993302664
hdca,Hexadecanoic acid,Fatty acyl-CoA,256.4,2.8074937210362343,0.30247206146366745,-13.21,2.104932326554174,0.22677992662414848,-13.21,0.749754954314645,,,,,,,,,,-13.21,,0.0,,2.104932326554174,,0.22677992662414848
hxdcol,Hexadecanol,Fatty acyl-CoA,242.44,2.7142021332136332,0.27649985925072074,-13.21,2.254267354359782,0.22964561060748173,-13.21,0.8305451266043751,,,,,,,,,,-13.21,,0.0,,2.254267354359782,,0.22964561060748173
ibutoh,Isobutanol,Isobutanol,74.12,12.322661285303218,0.38378533308254326,-13.21,4.070462401219695,0.20743724212008638,-8.073162564024837,0.5405033080705861,,,,,,,,,,-8.073162564024837,,0.0,,4.070462401219695,,0.20743724212008638
lac__L,L-Lactate,Pyruvate,89.07,23.87057322405863,0.8933934257006289,-13.21,23.87676708004519,0.8936252404193702,-13.21,1.0002594766337793,,,,,,,,,,-13.21,,0.0,,23.87676708004519,,0.8936252404193702
muco,"cis,cis-Muconate",3-Dehydroshikimate,140.09,10.445891655384969,0.6148952016851945,-13.21,8.467285466651143,0.49842496710738593,-13.21,0.8105852277614009,,,,,,,,,,-13.21,,0.0,,8.467285466651143,,0.49842496710738593
nrgn,(2S)-Naringenin,Tyrosine and malonyl-CoA,272.25,4.097355662836801,0.46872703561334367,-13.21,3.607513493765969,0.4126903410423831,-13.21,0.880449194705326,,,,,,,,,,-13.21,,0.0,,3.607513493765969,,0.4126903410423831
odealc,oleyl alcohol,oleoyl-CoA,268.5,0.09331826696012777,0.21986804423741493,-0.332925,0.075888249039582,0.17880101549746924,-0.332925,0.8132196568974741,0.027200000000000002,0.027999999999999997,"media:reset;c_sources:EX_sucr_e;media:reset;c_sources:EX_sucr_e;EX_sucr_e:(-0.332925,1000);EX_k_e:(-0.1,1000);EX_nh4_e:(-0.09,1000);EX_ca2_e:(-0.002844,1000);EX_mg2_e:(-0.004689,1000);EX_pi_e:(-0.01,1000);EX_no3_e:(-0.003217,1000);EX_cl_e:(-0.00643,1000);EX_so4_e:(-0.002,1000);EX_h_e:(-1000,1000);EX_h2o_e:(-1000,1000);EX_btn_c:(-0.01,1000);EX_o2_e:(-26.25403530509562,1000);EX_co2_e:(0,1000);EX_thm_e:(-1000,1000);EX_ribflv_e:(-1000,1000);EX_nac_e:(-1000,1000);EX_pydxn_e:(-1000,1000);EX_fol_e:(-1000,1000);EX_pnto__R_e:(-1000,1000);EX_4abz_e:(-1000,1000);EX_cu2_e:(-1000,1000);EX_fe2_e:(-1000,1000);EX_fe3_e:(-1000,1000);EX_mn2_e:(-1000,1000);EX_na1_e:(-1000,1000);EX_ni2_e:(-1000,1000);EX_zn2_e:(-1000,1000);EX_cobalt2_e:(-1000,1000);EX_inost_e:(-1000,1000);EX_asp__L_e:(-0.00046,1000);EX_thr__L_e:(-0.000276,1000);EX_ser__L_e:(-0.000334,1000);EX_glu__L_e:(-0.001013,1000);EX_gly_e:(-0.000747,1000);EX_tyr__L_e:(-0.000094,1000);EX_lys__L_e:(-0.000216,1000);EX_arg__L_e:(-0.000236,1000);EX_trp__L_e:(-0.000023,1000);EX_chol_e:(-0.090319,1000);EX_ala__L_e:(-0.001179,1000);EX_val__L_e:(-0.000463,1000);EX_met__L_e:(-0.000132,1000);EX_ile__L_e:(-0.000253,1000);EX_leu__L_e:(-0.000709,1000);EX_phe__L_e:(-0.000229,1000);EX_his__L_e:(-0.000205,1000);EX_pro__L_e:(-0.000761,1000);BIOMASS:(0.0133333333333333,1000)",Fed-batch; 2L; 40 g/L after 24 h; pH 5.0; sucrose as substrate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4607723/,0.005138585269748739,1000.0,"Rounded up trace element uptakes to account for contributions from seed cultures, until yields could be replicated",,-0.332925,,0.0,,0.075888249039582,,0.17880101549746924
pmtalc,palmityl alcohol,palmitoyl-CoA,242.44,0.10656278805630999,0.2267049529275405,-0.332925,0.085642880186784,0.1821992974795687,-0.332925,0.8036846796982123,0.0036,0.006,"media:reset;c_sources:EX_sucr_e;media:reset;c_sources:EX_sucr_e;EX_sucr_e:(-0.332925,1000);EX_k_e:(-0.1,1000);EX_nh4_e:(-0.09,1000);EX_ca2_e:(-0.002844,1000);EX_mg2_e:(-0.004689,1000);EX_pi_e:(-0.01,1000);EX_no3_e:(-0.003217,1000);EX_cl_e:(-0.00643,1000);EX_so4_e:(-0.002,1000);EX_h_e:(-1000,1000);EX_h2o_e:(-1000,1000);EX_btn_c:(-0.01,1000);EX_o2_e:(-26.25403530509562,1000);EX_co2_e:(0,1000);EX_thm_e:(-1000,1000);EX_ribflv_e:(-1000,1000);EX_nac_e:(-1000,1000);EX_pydxn_e:(-1000,1000);EX_fol_e:(-1000,1000);EX_pnto__R_e:(-1000,1000);EX_4abz_e:(-1000,1000);EX_cu2_e:(-1000,1000);EX_fe2_e:(-1000,1000);EX_fe3_e:(-1000,1000);EX_mn2_e:(-1000,1000);EX_na1_e:(-1000,1000);EX_ni2_e:(-1000,1000);EX_zn2_e:(-1000,1000);EX_cobalt2_e:(-1000,1000);EX_inost_e:(-1000,1000);EX_asp__L_e:(-0.00046,1000);EX_thr__L_e:(-0.000276,1000);EX_ser__L_e:(-0.000334,1000);EX_glu__L_e:(-0.001013,1000);EX_gly_e:(-0.000747,1000);EX_tyr__L_e:(-0.000094,1000);EX_lys__L_e:(-0.000216,1000);EX_arg__L_e:(-0.000236,1000);EX_trp__L_e:(-0.000023,1000);EX_chol_e:(-0.090319,1000);EX_ala__L_e:(-0.001179,1000);EX_val__L_e:(-0.000463,1000);EX_met__L_e:(-0.000132,1000);EX_ile__L_e:(-0.000253,1000);EX_leu__L_e:(-0.000709,1000);EX_phe__L_e:(-0.000229,1000);EX_his__L_e:(-0.000205,1000);EX_pro__L_e:(-0.000761,1000);BIOMASS:(0.0133333333333333,1000)",Fed-batch; 2L; 40 g/L after 24 h; pH 5.0; sucrose as substrate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4607723/,0.000753211910791016,1000.0,,,-0.332925,,0.0,,0.085642880186784,,0.1821992974795687
polyhb,Polyhydroxybutyrate,Acetoacetyl-CoA,103.1,14.808932885465833,0.6415505504160366,-13.21,12.312173858844954,0.5333862998131516,-13.21,0.8314018271315612,,,,,,,,,,-13.21,,0.0,,12.312173858844954,,0.5333862998131516
retcln,Reticuline,L-Tyrosine and L-phenylalanine,329.4,2.6909507474652696,0.37245841904425525,-13.21,2.422596157665796,0.3353150687417163,-13.21,0.9002751759569553,,,,,,,,,,-13.21,,0.0,,2.422596157665796,,0.3353150687417163
rsvtol,Resveratrol,L-Tyrosine and malonyl-CoA,228.24,4.0973556628368035,0.3929559544844431,-13.21,3.607513493765973,0.34597775368049083,-13.21,0.8804491947053265,,,,,,,,,,-13.21,,0.0,,3.607513493765973,,0.34597775368049083
sesqt,Sesquiterpenes,Farnesyl diphosphate,246.3,3.014736625472583,0.3120054934868951,-13.21,2.718501236890446,0.2813470711816421,-13.21,0.9017375560839581,,,,,,,,,,-13.21,,0.0,,2.718501236890446,,0.2813470711816421
skm,Shikimate,Shikimate,174.15,9.73581729138432,0.7124335212344858,-13.21,8.492658268391928,0.621463432776821,-13.21,0.8723107690103714,,,,,,,,,,-13.21,,0.0,,8.492658268391928,,0.621463432776821
stalc,stearyl alcohol,stearoyl-CoA,270.5,0.09466549891816615,0.22470366502813602,-0.332925,0.07610693580229,0.18065195455864091,-0.332925,0.8039564220548907,0.006,0.0092,"media:reset;c_sources:EX_sucr_e;media:reset;c_sources:EX_sucr_e;EX_sucr_e:(-0.332925,1000);EX_k_e:(-0.1,1000);EX_nh4_e:(-0.09,1000);EX_ca2_e:(-0.002844,1000);EX_mg2_e:(-0.004689,1000);EX_pi_e:(-0.01,1000);EX_no3_e:(-0.003217,1000);EX_cl_e:(-0.00643,1000);EX_so4_e:(-0.002,1000);EX_h_e:(-1000,1000);EX_h2o_e:(-1000,1000);EX_btn_c:(-0.01,1000);EX_o2_e:(-26.25403530509562,1000);EX_co2_e:(0,1000);EX_thm_e:(-1000,1000);EX_ribflv_e:(-1000,1000);EX_nac_e:(-1000,1000);EX_pydxn_e:(-1000,1000);EX_fol_e:(-1000,1000);EX_pnto__R_e:(-1000,1000);EX_4abz_e:(-1000,1000);EX_cu2_e:(-1000,1000);EX_fe2_e:(-1000,1000);EX_fe3_e:(-1000,1000);EX_mn2_e:(-1000,1000);EX_na1_e:(-1000,1000);EX_ni2_e:(-1000,1000);EX_zn2_e:(-1000,1000);EX_cobalt2_e:(-1000,1000);EX_inost_e:(-1000,1000);EX_asp__L_e:(-0.00046,1000);EX_thr__L_e:(-0.000276,1000);EX_ser__L_e:(-0.000334,1000);EX_glu__L_e:(-0.001013,1000);EX_gly_e:(-0.000747,1000);EX_tyr__L_e:(-0.000094,1000);EX_lys__L_e:(-0.000216,1000);EX_arg__L_e:(-0.000236,1000);EX_trp__L_e:(-0.000023,1000);EX_chol_e:(-0.090319,1000);EX_ala__L_e:(-0.001179,1000);EX_val__L_e:(-0.000463,1000);EX_met__L_e:(-0.000132,1000);EX_ile__L_e:(-0.000253,1000);EX_leu__L_e:(-0.000709,1000);EX_phe__L_e:(-0.000229,1000);EX_his__L_e:(-0.000205,1000);EX_pro__L_e:(-0.000761,1000);BIOMASS:(0.0133333333333333,1000)",Fed-batch; 2L; 40 g/L after 24 h; pH 5.0; sucrose as substrate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4607723/,0.001125130595515551,1000.0,,,-0.332925,,0.0,,0.07610693580229,,0.18065195455864091
styr,Styrene,L-Phenylalanine,104.15,6.857119136844593,0.30008854724020256,-13.21,6.320270466549986,0.27659440424202847,-13.21,0.9217092980913781,,,,,,,,,,-13.21,,0.0,,6.320270466549986,,0.27659440424202847
tag,Triacylglycerol,Triacylglycerol,824.3,0.12242826594662462,0.25449082426997954,-2.20113372715757,0.119602973240655,0.248617907064245,-2.201133727157571,0.9769228724745526,0.129384,0.1468,"c_sources:EX_glc__D_e;BIOMASS:(0.009615384615,0.14);EX_glc__D_e:(-2.20113372715757,1000);EX_nh4_e:(-0.181824845165991,1000);EX_o2_e:(-26.25403530509562,1000)",Strain CBS 14; minimal media; N limitation; max growth of 0.14/h; sugar went from 40.8 ± 0.3 to 3.19 ± 0.81 g/l (cultivated in 0.5 l),https://link.springer.com/article/10.1186/s13068-019-1478-8,,,,,-2.201133727157571,,0.0,,0.119602973240655,,0.248617907064245
tal,triacetic acid lactone,Acetyl-CoA and Malonyl-CoA,126.11004,0.007879922381677961,0.07450530731003109,-0.078476895921783,,,,,0.11450973051259666,0.1208420658404822,"c_sources:EX_xyl__D_e,EX_glc__D_e;EX_xyl__D_e:(-0.0266525306904169,-0.0266525306904169);EX_glc__D_e:(-0.0518243652313661,-0.0518243652313661);BIOMASS:(0,0.0138888888888889);BiomassKim_e:(0,0);EX_btn_c:(0,0.02);ATPM_c:(0,1000);EX_4abz_e:(-1000,1000);EX_fe3_e:(-1000,1000);EX_fol_e:(-1000,1000);EX_inost_e:(-1000,1000);EX_nac_e:(-1000,1000);EX_pnto__R_e:(-1000,1000);EX_pydxn_e:(-1000,1000);EX_ribflv_e:(-1000,1000);EX_thm_e:(-1000,1000);EX_o2_e:(-26.25403530509562,1000)","Strain IFO0880 with genetic modifications made to allow TAL production; grown using glucose. UB is theoretical maximum yield, while LB is observed yield at 95 h. Use biomass from RT_IFO0880 model (Kim et al. (2020)), to provide data based on similar conditions.",https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/full/10.1002/bit.28159,0.011133019284161489,0.012780647900976147,,,,,,,,,
