,minimum,maximum
FMNRx_c,0.0,0.0
FMNRx2_c,0.0,0.0
tpsamp_c_m,0.0,0.0
ADPh_c,0.0,157.7323150876129
ADPh_m,0.0,155.6637328419774
tpspydx5p_c_m,0.0,0.0
tpsca2_c_g,0.0,0.0
tpspydx5p_c_x,0.0,0.0
tpspydx5p_c_r,0.0,0.0
tpscu2_c_m,0.0,0.0
tpsfad_c_r,0.0,0.0
tpsfe2_c_r,0.0,0.0
tpsfmn_c_x,0.0,0.0
tpsfeCATION_c_n,0.0,0.0
tpsheme_c_r,0.0,0.0
tpsheme_c_x,0.0,0.0
tpsmetal2_c_x,0.0,0.0
tpsmg2_c_m,0.0,0.0
tpsmg2_c_n,0.0,0.0
tpsmg2_c_r,0.0,0.0
tpsmg2_c_rm,0.0,0.0
tpsmg2_c_x,0.0,0.0
tpsmg2ormn2_c_en,0.0,0.0
tpsmg2ormn2_c_m,0.0,0.0
tpsmg2ormn2_c_vm,0.0,0.0
tpsmn2_c_m,0.0,0.0
tpsmn2_c_n,0.0,0.0
tpsmn2_c_r,0.0,0.0
tpsmn2_c_rm,0.0,0.0
tpspyr_c_gm,0.0,0.0
tpspyr_c_mm,0.0,0.0
tpspyr_c_vm,0.0,0.0
tpsthmpp_c_m,0.0,0.0
tpsthmpp_c_x,0.0,0.0
tpszn2_c_n,0.0,0.0
tpszn2_c_r,0.0,0.0
tpsfad_c_x,0.0,0.0
GENERIC_na1CATION1_c,0.0,0.0
GENERIC_na1CATION1_e,0.0,0.0
GENERIC_kCATION1_m,0.0,0.0
GENERIC_kCATION1_e,0.0,0.0
GENERIC_kCATION1_c,0.0,0.0
GENERIC_hCATION1_en,0.0,0.0
GENERIC_hCATION1_vm,0.0,0.0
GENERIC_hCATION1_gm,0.0,0.0
GENERIC_hCATION1_mm,0.0,0.0
GENERIC_hCATION1_rm,0.0,0.0
GENERIC_hCATION1_v,0.0,0.0
GENERIC_hCATION1_x,0.0,0.0
GENERIC_hCATION1_n,0.0,0.0
GENERIC_hCATION1_m,0.0,0.0
GENERIC_hCATION1_l,0.0,0.0
GENERIC_hCATION1_g,0.0,0.0
GENERIC_hCATION1_c,0.0,0.0
GENERIC_hCATION1_r,0.0,0.0
GENERIC_hCATION1_e,0.0,0.0
GENERIC_ca2metal2_c,0.0,0.0
GENERIC_ca2metal2_e,0.0,0.0
GENERIC_cobalt2metal2_c,0.0,0.0
GENERIC_cobalt2metal2_e,0.0,0.0
GENERIC_cu2metal2_e,0.0,0.0
GENERIC_cu2metal2_c,0.0,0.0
GENERIC_fe2metal2_c,0.0,0.0
GENERIC_fe2metal2_e,0.0,0.0
GENERIC_fe2metal2_m,0.0,0.0
GENERIC_mg2metal2_c,0.0,0.0
GENERIC_mg2metal2_e,0.0,0.0
GENERIC_mn2metal2_e,0.0,0.0
GENERIC_mn2metal2_c,0.0,0.0
GENERIC_ni2metal2_c,0.0,0.0
GENERIC_ni2metal2_e,0.0,0.0
GENERIC_zn2metal2_e,0.0,0.0
GENERIC_zn2metal2_c,0.0,0.0
GENERIC_fe2feCATION_c,0.0,0.0
GENERIC_fe2feCATION_e,0.0,0.0
GENERIC_fe2feCATION_m,0.0,0.0
GENERIC_fe3feCATION_c,0.0,0.0
GENERIC_fe3feCATION_e,0.0,0.0
GENERIC_mg2mg2ormn2_c,0.0,0.0
GENERIC_mg2mg2ormn2_e,0.0,0.0
GENERIC_mn2mg2ormn2_c,0.0,0.0
GENERIC_mn2mg2ormn2_e,0.0,0.0
GENERIC_hemeAheme_c,0.0,0.0
GENERIC_hemeAheme_m,0.0,0.0
GENERIC_hemeOheme_m,0.0,0.0
GENERIC_phemeheme_m,0.0,0.0
GENERIC_shemeheme_c,0.0,0.0
RLFC2O_c,0.0,33.080179774840836
RLFC2O_m,0.0,29.404604244302966
BTDDH_c,-4.353481472629296,0.0
LLFC2O_c,0.0,30.788737116217312
13GS_c,0.1001123,0.1001123
16GS_c,0.026345400000000005,0.026345400000000005
PRMICI_c,0.0076302,0.0076302
P5CD2_m,0.0,15.709828592585984
DHPPDA2_c,2e-05,2e-05
DRAPPRy_c,2e-05,2e-05
ACHBS_m,0.023286,3.253216632894174
HPPK2_m,0.0,1.0000000000003062e-05
AATA_c,0.025974300000000002,2.9484275464011507
DPR_c,9.999999999996123e-06,1.8202377543892287
DDPA_m,0.0,0.0
IPPMIb_c,-0.0316673,-0.0316673
UNK3_c,0.0,2.6617220956257825
HCITR_m,0.025974300000000002,2.948427546401189
MCITS_m,0.0,0.0
OMCDC_c,0.0316673,0.0316673
OMCDC_m,0.0,0.0
BPNT_c,0.0,24.96559140455826
PDE1_c,0.0,78.86615754380654
PDE2_c,0.0,0.0
PDE3_c,0.0,0.0
PDE4_c,0.0,0.0
PDE5_c,0.0,0.0
DB4PS_c,4.000000000000612e-05,4e-05
DHQTi_c,0.02521369999999997,2.922329213976819
DHQS_c,0.02521369999999997,2.922329213976819
3DSPHR_r,0.0008081,0.0008081
DDPA_c,0.02521369999999997,2.922329213976819
HKYNH_c,1.9999999999975333e-05,2.0000000000641466e-05
HACD140i_x,0.0,2.800384303474156
3HAO_c,1.9999999999975333e-05,2.0000000002642036e-05
3IPM3MT_c,0.0,0.0
IPPMIa_c,-0.0316673,-0.0316673
IPMD_c,0.0316673,0.0316673
3MOBDC_c,0.0,4.288605271185122
MTMOHT_m,9.9999999998851e-06,1.8202377543892523
3MOPDC_c,0.0,3.2299306328941966
PSCIT_c,0.025213699999999978,2.922329213976799
ADCS_c,1.0000000000003062e-05,2.8971255139767984
ADCL_c,1.0000000000003062e-05,2.8971255139767984
ABTA_c,1e-05,15.18405118181136
4HTHRS_c,0.0,0.0
4DPMIPPH_c,0.0,0.0
IPPYP1_c,0.0,0.0
MTAP_c,0.0,2.661722095625781
NTD4pp_c,0.0,157.7323150876129
NTD2pp_c,0.0,157.73231508761282
PRFGS_c,0.01212750000000631,5.176348149304398
MTHFR3_c,0.027123900000000006,5.3848958875301625
ALAS_m,8e-05,8e-05
PMI12346PS_c,0.0,0.0
FTHFCL_c,0.0,0.0
MHPGLUT_c,0.0,0.0
MDRPD_c,0.0,2.661722095625781
MTRI_c,0.0,2.661722095625781
IPPYP2_c,0.0,0.0
IPPYP3_c,0.0,0.0
6DPMIPPH_c,0.0,0.0
IPPYP4_c,0.0,0.0
ACALDCD_c,0.0,4.353481472629278
KARA1i_m,0.060656299999999996,4.349261571185119
ACLS_m,0.060656299999999996,4.349261571185119
ACOATA_m,0.0,0.0
ACACT180i_x,0.0,10.284957437733807
ACACT260i_x,0.0,3.9098246439325117
ACACT160i_x,0.0,17.362547691143156
ACACT40ir_c,0.089478,3.1365558986966593
ACACT140i_x,0.0,2.8003843034741513
ACACT100i_x,0.0,2.6529956559228927
ACACT120i_x,0.0,2.2912235210243157
ACS_n,0.0,0.0
ACGK_m,0.015270400000000003,11.326150889089886
ACP1_e,0.0,0.0
ACONT2_m,0.0,0.0
ACOTAi_m,0.015270400000000003,11.326150889089886
ACOAO100_x,0.0,0.0
ACOAO120_x,0.0,0.0
ACOAO260_x,0.0,3.909824643932495
ACOAO160_x,0.0,17.362547691143206
ACOAO180_x,0.0,10.28495743773385
ACOAO140_x,0.0,2.8003843034741784
ADD_c,0.0,2.6406381374569694
ADPT_c,0.0,2.6617220956257825
ADA_c,0.0,61.23411138318575
ADNK1_c,0.0,157.75492198761265
AMPDA_c,0.0,91.83986362477819
AHCi_c,0.0226069,52.6000452625376
ADMDC_c,1.9999999999999185e-05,2.661722095625781
AMAOTr_c,0.0,0.0
ADNCYC_c,0.0,78.86615754380634
ADK1_c,0.5365612625177247,158.82059956710887
ADK1_m,0.0,155.66373450864444
ADK3_m,0.0,119.74133423741844
ADSL2i_c,0.012117500000003622,5.176338149304405
ADSL1r_c,0.012430300000003613,91.85230392477867
ADSS_c,0.012430300000003613,91.85230392477867
ADSK_c,0.00509050000000022,24.96559140455832
AGTi_c,0.0,14.360492846438586
ALATRS_c,0.038625400000000004,0.038625400000000004
ALCD2i1_c,0.0,1000.0
ALCD19y_c,0.0,0.0
ALCD2i2_m,0.0,0.0
ALCD22xi_c,0.0,3.0465507710721083
ALCD22xi_m,0.0,3.0465507710720967
ALCD22yi_c,0.0,3.0202578375881597
ALCD25xi_c,0.0,0.0
ALCD25xi_m,0.0,0.0
ALCD25yi_c,0.0,0.0
ALDD20x_m,0.0,0.0
ALDD20y_m,0.0,0.0
ALCD24xi_c,0.0,0.0
ALCD24xi_m,0.0,0.0
ALCD24yi_c,0.0,0.0
ALCD23xi_c,0.0,4.002479928976921
ALCD23xi_m,0.0,4.002479928976921
ALCD23yi_c,0.0,3.9361815209551665
ALCD26xi_c,0.0,1.8299294602407585
ALCD26xi_m,0.0,1.8299294602407585
AKP1_c,0.0,1.0000000000003062e-05
ATAH_c,0.0,0.0
ALLTN_c,0.0,0.0
ALPHNH_c,0.0,157.7323150876165
12AMANTF_g,0.0,0.0
TREH_v,0.0,52.57743836253908
TRE6PS_c,0.0,52.57743836253908
AMID_c,0.0,0.0
AACTOOR_c,0.0,0.0
ABUTD_m,0.0,0.0
ANPRT_c,0.0025898000000008636,11.423386672297578
ANS_c,0.0025898000000008636,1.8967273114772578
AP4AH_c,0.0,157.73231508761657
ARGN_c,0.0,29.479775404901254
ARGSL_c,0.0152604,29.495035804901253
ARGSS_c,0.0152604,29.495035804901253
ARGTRS_c,0.0152604,0.0152604
ASNS1_c,0.0183441,0.0183441
ASNTRS_c,0.0183441,0.0183441
ASNTRS_m,0.0,0.0
ASPCT_c,0.012566999999999998,1.9902051172414146
ASPK_c,0.04983390000000001,30.59124171181457
ASPTA_c,-70.7968990426812,50.1228276625359
ASPTA_x,0.0,0.0
ASAD_c,0.04983390000000001,30.591241711814543
ASPTRS_c,0.0183441,0.0183441
ATPATF1_c,0.0,157.732315087617
ATPPRT_c,0.0076302,0.0076302
ATPASEP2e_c,0.0,157.9974081876164
14BMANTF_c,0.0,0.0
BTS1_c,0.0,0.0
BACCL_c,0.0,0.0
C14STR_c,0.0102571,0.47492654726032346
C22STDSy_c,0.0,0.4139930527082506
C3STDH2_c,0.0102571,0.431846355510237
C3STDH1_c,0.0102571,0.431846355510237
C4STMO1_c,0.0102571,0.431846355510237
C4STMO2_c,0.0102571,0.431846355510237
C4STMO3_c,0.0102571,0.431846355510237
C4STMO4_c,0.0102571,0.431846355510237
C5STDS_c,0.0,0.4139930527082506
C8STI_c,0.0102571,0.431846355510237
C24STR_r,0.0,0.4102966861662126
CBPS_c,0.0278274,29.507602804901243
CRNOAT_c,0.0,50.406917462535986
CRNOAT_x,0.0,23.458947863595444
CAT_c,0.0,22.817998003934598
CAT_x,0.0,11.729473931797733
CERH124A_r,0.0,0.000202025
CERH124B_r,0.0,0.0
CERH126A_r,0.0,0.000202025
CERH126B_r,0.0,0.0
CERH2A24_r,0.0,0.0
CERH2A26_r,0.0,0.0
CERH324_r,0.0,0.0
CERH326_r,0.0,0.0
CHTNDA_c,0.0,0.0
CHTNS_c,0.0023669,0.0023669
CHOLK_c,0.0,52.578985095872305
CHLPCTD_c,0.0,52.578985095872305
CHORM_c,0.0226139,2.2547234776962166
CHORS_c,0.025213699999995537,2.9223292139768646
FRTT_l,0.0015503000000000003,0.0015503000000000003
GGTT_l,0.0015503000000000003,0.0015503000000000003
PPTT_l,0.0015503000000000003,0.0015503000000000003
PRENT6_l,0.0015503000000000003,0.0015503000000000003
PRENT7_l,0.0015503000000000003,0.0015503000000000003
PRENT8_l,0.0015503000000000003,0.0015503000000000003
PRENT9_l,0.0015503000000000003,0.0015503000000000003
PRENT10_l,0.0015503000000000003,0.0015503000000000003
PRENT11_l,0.0015503000000000003,0.0015503000000000003
PRENT12_l,0.0015503000000000003,0.0015503000000000003
PRENT13_l,0.0015503000000000003,0.0015503000000000003
PRENT14_l,0.0013780444444444447,0.0013780444444444447
PRENT15_l,0.001205788888888889,0.001205788888888889
PRENT16_l,0.0010335333333333335,0.0010335333333333335
PRENT17_l,0.0008612777777777779,0.0008612777777777779
PRENT18_l,0.0006890222222222222,0.0006890222222222222
PRENT19_l,0.0005167666666666666,0.0005167666666666666
PRENT20_l,0.0003445111111111111,0.0003445111111111111
PRENT21_l,0.00017225555555555556,0.00017225555555555556
CS_m,0.11921819999999939,50.38094316253593
CS_x,0.0,0.0
CPPPGO_c,1e-05,1e-05
CTPS2_c,0.008160400000000005,31.579973737523478
CTPS1_c,0.0,0.0
CBL_c,0.0,61.58953130876709
CYSTS_c,0.0,61.590104808767094
CYSTGL_c,0.0,3.189238601169406
METB1_c,0.0,3.1934256283133173
CYSS_c,0.0,4.355566310130879
CYSTRS_c,0.0005535000000000001,0.0005535000000000001
CYTD_c,0.0,31.57124573752345
CYTDK2_c,0.0,157.73231508761734
LNS14DMy_c,0.0102571,0.4749265472603233
CSND_c,0.0,31.571245737523416
ARAB14LO_c,0.0,0.0
ARAB1Dx_c,0.0,0.0
FBA2_c,0.0,0.0
SBTD_D2_c,0.0,0.0
DCMPDA_c,0.0,1.9556533868909802
DCTPD_c,0.0,1.9093108895712891
DADA_c,0.0,0.0
DCYTD_c,0.0,1.9322043055133937
DGK1_c,0.0,157.73231508761722
DXHPSq9_c,0.0,0.0
DRBK_c,0.0,0.0
DHFRi_c,0.0007194999999999962,1.9783576172414143
DHFRi_m,0.0,0.0
DHFS_1_c,9.999999999996123e-06,1.0000000000010001e-05
DHNPA2i_m,9.999999999996123e-06,1.0000000000010001e-05
DNMPPA_c,0.0,1.0000000000010001e-05
DHORTS_c,-1.9902051172413595,-0.012566999999999998
DHPTS_m,0.0,9.99999999995449e-06
FOLD3_m,0.0,9.99999999995449e-06
DHAD1_m,0.06065629999999994,4.349261571185226
DHAD2_m,0.023286,3.253216632894295
DHAK_c,0.0,157.73257413899634
DMATT_c,0.0220745,0.9819887246397866
DPGM_c,0.0,0.0
PMI1346PS_c,0.0,0.0
DIPS_c,0.0,0.0
DOLK_c,0.0,0.0
DOLPMT_c,0.0115744,78.8777319438085
DOLPMMT_r,0.0,78.8661575438085
DTMPK_c,0.0007095000000000001,1.9783476172414145
DUTPDP_c,0.0,78.86686704380847
EPGALURS_e,0.0,0.0
ENO_c,-60.86182318318573,9.546271233333458
ETHAK_c,0.0,0.0
ACHLE3_c,0.0,0.0
13BGH_e,0.0,0.0
FRTT_c,0.0,0.7470428240214356
FACOAL100_x,0.0,78.8661575438084
FACOAL120_x,0.0,78.86615754380846
FACOAL160_x,0.0,78.86615754380846
FACOAL80_x,0.0,78.8661575438084
FACOAL140_x,0.0,78.86615754380846
FECPOR_m,0.0,0.0
AFAT_c,1e-05,1e-05
FALDH_c,0.0,0.0
FDH_c,0.0,17.335645689928047
FTHFL_m,-9.335530791073497,0.0
FBP2_c,0.0,0.0
FBP_c,0.0,157.73231508761705
FBA_c,-28.597217231465997,162.48748287583427
FUM_m,0.0,12.583088715633991
FUM_c,-6.4280346116304905,91.87969182478042
DHORDfum_c,0.012566999999999998,1.9902051172414206
FRD_c,0.0,1.4940856480428686
GTMLT_c,0.0,0.0
GALKi_c,0.0,0.0
GALT_c,0.0,0.0
GLUCYS_c,0.0,0.0
GGTT_c,0.0,0.0
GRTT_c,0.022074499999999997,0.9819887246397867
GLCGSD_c,0.0,78.86615754380873
GLCGSD_v,0.0,78.86615754380878
G6PDA_c,0.0,157.73231508761742
G6PDH2i_c,0.0,26.00346853489203
PGI_c,-21.134626834891467,4.868841700000001
GLU5K_c,0.0,9.702850002387816
GLUDC_c,0.0,15.184041181811729
GLUDxi_c,0.0,183.6797272495622
GLUDy_c,0.0,184.23262484956064
GLUSx_c,0.0,157.73231508761685
G5SDy_c,0.0,9.702850002387764
GLUN_c,0.0,157.7323150876172
GLNS_c,0.13393059999999157,157.86695518761712
GF6PTA_c,0.0071664,157.73948148761716
GLNTRS_c,0.030599900000000003,0.030599900000000003
GLUTRS_c,0.030599900000000003,0.030599900000000003
GLUTRS_m,0.0,0.0
GTHO_c,0.0,22.817998003934687
GTHO_m,0.0,0.0
GTHP_c,0.0,22.817998003934687
GTHP_m,0.0,0.0
GTHS_c,0.0,0.0
GAPD_c,-27.51127559433701,9.54627123333344
GLYK_c,0.0,157.73257413899609
G3PDf_m,0.0,50.26172496253604
G3PD1r_c,-29.479735212993056,157.74337533899566
G3PD1i_m,0.0,0.0
GARFT_c,0.012127500000009818,5.17634814930449
GLYAT_c,0.0,0.0
GLYCL_m,-6.473584711630478,22.76344240973441
GHMT2r_c,-12.643989815633697,17.384987189928047
GLYGS_c,0.0,157.73231508761643
GLCP_c,0.0,157.73231508761643
GLYTRS_c,0.0351464,0.0351464
GMPS2_c,0.0073174000000000225,0.007317399999999988
GTPCI_c,1.0000000000003062e-05,1.0000000000003062e-05
GTPCII2_c,2.000000000001694e-05,2e-05
GUAD_1_c,0.0,0.0
GK1_c,0.0,157.7403419876169
GK2_c,-0.0007095000000000001,157.73963248761657
HOMOX_m,1e-05,1e-05
HEMEOS_m,1e-05,1e-05
HEX7_c,0.0,0.0
HEX1_c,1.1228385659092672,110.15487672507813
HEX4_c,0.0,78.86615754380873
HISTD_c,0.0076302,0.0076302
HISTP_c,0.0076302,0.0076302
HSTPT_c,0.0076302,0.0076302
HISTRS_c,0.0076302,0.0076302
HISTRS_m,0.0,0.0
ARMT_c,0.0,0.0
HACNH_m,0.025974300000000002,2.9484275464012253
HCYSMT_c,0.0,52.57743836253904
HICITD_m,0.025974300000000002,2.9484275464012217
HSDy_c,0.0,26.396074017951214
HSK_c,0.0220209,30.58661791856539
HSERTA_c,0.004527000000000007,3.193765601169395
THIORDXi_x,0.0,15.494221594508613
GLYOX_c,0.0,33.08017977484171
HETZK_c,0.0,52.57743836253918
PPBNGD_c,1e-05,1e-05
HMGCOAR_c,0.089478,3.136555898696749
HMGCOAS_c,0.089478,3.136555898696749
HMGCOAS_m,0.0,0.0
HMPK1_c,1e-05,52.57744836253923
IG3PS_c,0.0076302,0.0076302
IGPDH_c,0.0076302,0.0076302
IGPS_c,0.002589799999999934,11.423386672297818
INDPYRD_c,0.0,1.8941375114773027
PPA_c,0.8318898625177363,159.11664766711297
IPK2_n,0.0,0.0
IPK3_n,0.0,0.0
IPK4_n,0.0,0.0
IPK5_n,0.0,0.0
ACHLE1_c,0.0,0.0
ACHLE2_c,0.0,0.0
ICDHx_m,0.0,15.303259381811708
ICL_1_c,0.0,24.77120415891562
ILETA_c,0.0,3.2299306328943103
ILETA_m,-3.2532166328942087,-0.023286
ILETRS_c,0.023286,0.023286
ILETRS_m,0.0,0.0
IPDDI_c,0.0220745,0.981988724639785
ITCOAL_m,0.0,0.0
KARA2i_m,0.023286,3.2532166328942815
KYN_c,0.0,11.420796872297355
KYN3OX_c,2.0000000000086355e-05,1.9999999980552935e-05
PHCD_m,0.0,0.0
4HGLSD_m,0.0,0.0
THRA2_c,0.0,0.0
ATHRDHr_c,0.0,0.0
AASADy_c,0.025974300000000002,2.948427546401223
EGHLAT_c,0.0,0.0
EGHLAT_x,0.0,0.0
HPRORy_c,0.0,0.0
LALDO3_c,0.0,30.788737116218165
LSERDHi_c,0.0,0.0
SBTD_L_c,0.0,0.0
THRD_L_m,0.0,3.253205126072437
TRPO2_c,1.999999999986431e-05,11.420816872297376
LCADi_c,0.0,30.788737116218567
LGTHL_c,0.0,33.080179774841724
LNSTLS_c,0.0102571,0.4902142123198916
LEUTA_c,-0.0316673,-0.0316673
LEUTA_m,0.0,0.0
LEUTRS_c,0.0316673,0.0316673
LTA4H_c,0.0,0.0
LTA4H_n,0.0,0.0
LTA4H2_c,0.0,0.0
LTA4H2_n,0.0,0.0
LTA4H3_c,0.0,0.0
LTA4H3_n,0.0,0.0
LYSTRS_c,0.025974300000000002,0.025974300000000002
MDH_m,-4.201949435110535,50.38094316253609
ME1_m,0.0,22.662942336320377
MAN1PT_c,0.038441099999999985,78.90459864380833
MAN6PI_c,-0.038441099999999985,-0.038441100000000006
MTHFC_m,0.0,9.335530791073703
METAT_c,0.0226369,52.600075262539015
METS_c,0.027123900000000006,5.384895887530427
FMETTRS_m,0.0,0.0
METTRS_c,0.004507,0.004507
METTRS_m,0.0,0.0
MTHFD2i_c,0.0,183.67972724956167
MTHFD_m,0.0,9.33553079107368
MCITL2_m,0.0,0.0
MEVK1_c,0.0,3.077649296085742
MEVK2_c,0.0,3.077649296085742
MEVK3_c,0.0,3.077649296085742
MEVK4_c,0.0,3.077649296085742
DPMVD_c,0.089478,3.077649296085742
MI1PP_c,0.0047006,52.58213896253907
M1PS_c,0.0047006,0.004700599999999611
AGPRi_m,0.015270400000000003,11.326150889090117
ACGAM6PS_c,0.0071664,0.0071664
ACGS_m,0.0,0.0
FKYNH_c,1.9999999999975333e-05,11.420816872297515
NADDP_x,0.0,0.0
NADK_c,0.0,1.0000000000065512e-05
NADK_m,0.0,0.0
NADN_n,0.0,0.0
NADS2_c,1.9999999999975333e-05,1.9999999974665283e-05
NADS2_n,0.0,0.0
NADHq9_c,0.0,50.261724962535965
NADHK1_c,0.0,9.999999998032416e-06
NADHK1_m,0.0,0.0
NAMNPP_c,0.0,0.0
NAMNPP_m,0.0,0.0
NNAM_c,0.0,0.0
NNMT_c,0.0,0.0
NNDPR_c,1.9999999999975333e-05,1.9999999974884292e-05
NNDPR_m,0.0,0.0
NDP1_c,0.0,157.73231508761725
NDP3_c,0.0,157.73231508761728
NDP7_c,0.0,157.73231508761702
NDP7_g,0.0,0.0
NDP5_c,0.0,157.7323150876176
NDP10_c,0.0,61.2265757498541
NDPK3_c,0.0,157.84077728761716
NDPK8_c,0.0,157.7403419876177
NDPK7_c,0.0011074000000000001,1.9104182895712887
NDPK5_c,0.0011074000000000001,157.73342248761725
NDPK4_c,0.0007095000000000001,1.9783476172414152
NDPK1_c,0.05708140000000123,157.8788944876173
NDPK9_c,0.0,157.73231508761734
NDPK10_c,0.0,0.0
NDPK6_c,0.0,78.86686704380867
NTP3_c,0.0,157.73231508761725
NTP7_c,0.0,157.73231508761737
NTP5_c,0.0,157.73231508761705
NTP10_c,0.0,157.73231508761737
NDP3_g,0.0,0.0
NDPK2_c,0.1454816,157.96798418761725
AHSERL_c,0.0,0.0
AHSERL2_c,0.0,2.772940287704591
SHSL1_c,0.0,0.0
OCBT_c,0.0152604,29.49503580490135
ORNDC_c,1.0000000000003062e-05,3.5933814901811343
ORNTACi_m,0.015270400000000003,11.326150889090068
ORNTA_c,0.0,11.310880489090067
ORPT_c,-1.990205117241363,-0.012566999999999998
OMPDC_c,0.012566999999999998,1.9902051172414177
PTPAT_c,9.999999999996123e-06,9.999999999940612e-06
PNTK_c,9.999999999996123e-06,9.999999999940612e-06
PBAL_c,9.999999999996123e-06,1.8202377543892758
FACOAE100_x,0.0,78.8661575438087
FACOAE120_x,0.0,78.8661575438087
FACOAE160_x,0.0,78.86615754380865
FACOAE140_x,0.0,78.86615754380863
FACOAE180_x,0.0,78.86615754380865
FACOAE80_x,0.0,78.8661575438087
