id,object_type,command
accoa_c,met,annotation:metanetx.chemical-MNXM21
accoa_n,met,annotation:metanetx.chemical-MNXM21
accoa_m,met,annotation:metanetx.chemical-MNXM21
accoa_x,met,annotation:metanetx.chemical-MNXM21
accoa_r,met,annotation:metanetx.chemical-MNXM21
glu__D_c,met,annotation:metanetx.chemical-MNXM89557
glu__L_c,met,annotation:metanetx.chemical-MNXM89557
glu__L_e,met,annotation:metanetx.chemical-MNXM89557
glu__L_m,met,annotation:metanetx.chemical-MNXM89557
glu__L_n,met,annotation:metanetx.chemical-MNXM89557
glu__L_x,met,annotation:metanetx.chemical-MNXM89557
glu__L_v,met,annotation:metanetx.chemical-MNXM89557
nadh_c,met,annotation:metanetx.chemical-MNXM10
nadh_r,met,annotation:metanetx.chemical-MNXM10
nadh_m,met,annotation:metanetx.chemical-MNXM10
nadh_x,met,annotation:metanetx.chemical-MNXM10
nadh_rm,met,annotation:metanetx.chemical-MNXM10
nadph_c,met,annotation:metanetx.chemical-MNXM6
nadph_r,met,annotation:metanetx.chemical-MNXM6
nadph_m,met,annotation:metanetx.chemical-MNXM6
nadph_x,met,annotation:metanetx.chemical-MNXM6
nadph_l,met,annotation:metanetx.chemical-MNXM6
nadph_rm,met,annotation:metanetx.chemical-MNXM6
itp_c,met,annotation:metanetx.chemical-MNXM423
utp_c,met,annotation:metanetx.chemical-MNXM121
utp_m,met,annotation:metanetx.chemical-MNXM121
gtp_m,met,annotation:metanetx.chemical-MNXM51
gtp_c,met,annotation:metanetx.chemical-MNXM51
ctp_c,met,annotation:metanetx.chemical-MNXM63
ctp_m,met,annotation:metanetx.chemical-MNXM63
ctp_rm,met,annotation:metanetx.chemical-MNXM63
ctp_mm,met,annotation:metanetx.chemical-MNXM63
atp_c,met,annotation:metanetx.chemical-MNXM3
atp_r,met,annotation:metanetx.chemical-MNXM3
atp_m,met,annotation:metanetx.chemical-MNXM3
atp_n,met,annotation:metanetx.chemical-MNXM3
atp_x,met,annotation:metanetx.chemical-MNXM3
atp_rm,met,annotation:metanetx.chemical-MNXM3
atp_l,met,annotation:metanetx.chemical-MNXM3
atp_en,met,annotation:metanetx.chemical-MNXM3
atp_vm,met,annotation:metanetx.chemical-MNXM3
atp_gm,met,annotation:metanetx.chemical-MNXM3